"id","serie","number","title"
"525","Jommeke ","259"," Storm Aan Zee"
"526","Donald Duck En Andere Verhalen ","7"," Deel 07"
"527","De Jonge Jaren Van Blueberry ","4"," De Outlaws Van Missouri"
"528","Laurel En Hardy "," F54 "," Nummer 54"
"529","Losstaande Albums Van Bernhard Willem Holtrop ","16"," Per Abuis"
"530","Samson & Gert Krant ","12"," Nummer 012"
"531","Sectie R ","3"," Verboden Gebied"
"532","Nosferatu ","2"," Para Bellum"
"533","Collectie Metro ","6"," Indochina"
"534","Kuifje Weekblad ","1951","4"
"535","Fuji ","1"," Fuji"
"536","Diabolik "," A09 "," Gangsters Onder Elkaar"
"537","Donald Duck ","1992","44"
"538","Donald Duck Pocket S3 ","191"," Het Monster Van Het Geldpakhuis"
"539","Guust Flater "," O02 "," Flater Feest"
"540","Prins Valiant ","2"," Het Zingende Zwaard"
"541","Turbo ","9"," Nini Tapioca"
"542","Donald Duck ","1981","29"
"543","Donald Duck ","84"," Als Verliezer"
"544","De Avonturen Van Nero En Co ","133"," De Muurloper"
"545","Lasso ","263"," De Genadeloze Oplichter"
"546","Jommeke ","143"," Va Kwak En Moe Boemel"
"547","Debbie Stripstory ","1979","2"
"548","Action Strips ","1"," Arena"
"549","Borgia ","3"," Vlammen Van De Brandstapel (Andere scan)"
"550","De Lustige Lezers ","2"," De Blauwe Heks"
"551","Donald Duck ","2008","37"
"552","Robbedoes Weekblad ","1981","2247"
"553","Eppo ","1982","4"
"554","De Rode Ridder (Kleur) ","208"," De Blauwe Heks"
"555","Robbedoes Weekblad ","1963","1332"
"556","Donald Duck ","1958","35"
"557","Kuifje Weekblad ","1973","30"
"558","Abc Warriors ","1"," Kronieken Van Khaos"
"559","De Metabaronnen ","8"," Zondernaam, De Laatste Metabaron"
"560","Robbedoes Weekblad ","1970","1695"
"561","Kuifje Weekblad ","1954","40"
"562","Kuifje Weekblad ","1953","1"
"563","New Teen Titans ","9"," Het Lot Van Brother Blood"
"564","Digitaline ","1"," No Limits"
"565","C�dric ","17"," Wie Heeft Het Licht Uit Gedaan"
"566","Bajonet ","211"," De Uitdaging"
"567","Donald Duck ","1974","6"
"568","Lasso ","341"," De Bolhoeden Bende"
"569","Agent 212 ","22"," Rivierpolitie"
"570","Tarzan (Classics) ","201"," Duivelse Razernij"
"571","Klein Suske En Wiske ","1"," Engeltjes, Bengeltjes"
"572","Kasboek ","1"," Kasboek 1"
"573","Eppo ","1980","12"
"574","Rooie Oortjes Magazine ","28"," Deel 28"
"575","Tom & Jerry (De Vrijbuiter) "," T04 "," Groot Vakantieboek 1985"
"576","Donald Duck Pocket S3 ","8"," Het Dubbelvolk"
"577","Fix En Fox ","1965","29"
"578","Nick Pionier Van Het Heelal "," B02 "," Een Onbekente Wereld"
"579","Frank De Vliegende Hollander "," A02 "," Australisch Avontuur (1985)"
"580","Asterix ","25"," De Broedertwist"
"581","Garfield ","54"," Garfield Gaat Een Avondje Uit (Bewerkt)"
"582","Donald Duck ","1979","9"
"583","Suske En Wiske ","1"," Op Het Eiland Amoras (1946)"
"584","Garfield "," P60 "," Pocket 60"
"585","Ronnie Hansen ","4"," Pech Voor Pablito"
"586","Requiem de Vampierridder ","5"," Dragon Blitz"
"587","Sjors ","1961","3"
"588","Beeldscherm Classics ","813"," Zoeloe"
"589","Het Oog Van De Dobermanns ","2"," De Schaduw Van De Honden"
"590","De Rode Ridder (Kleur) ","50"," De Terugkeer"
"591","Donald Duck ","1990","39"
"592","Apostata ","3"," Argentoratum"
"593","Donald Duck Extra "," 1990 05 "," De Fopfabriek"
"594","Suske En Wiske ","13"," De Ringelingschat (1951)"
"595","7 Super Strips ","1"," Deel 01"
"596","De Avonturen Van Nero En Co ","100"," De Neroberg"
"597","Koning Gonzales ","1"," Koning Gonzales En De Twaalf Prinsesjes"
"598","Voyage To The Bottom Of The Sea ","2"," Het Diepzee Eiland"
"599","Eppo ","1979","47"
"600","Paling En Ko ","50"," De Rampzalige Tuin"
"601","MAD ","44"," No 044"
"602","Kuifje Weekblad ","1983","24"
"603","Robbedoes Weekblad ","1969","1604"
"604","Tim Zonder Vrees ","4"," Het Oerwoud In Vlammen"
"605","TV2000 ","1969","2"
"606","Donald Duck ","1960","17"
"607","Robbedoes Weekblad ","1966","1456"
"608","Donald Duck Dubbelalbums ","8"," Dubbelalbum Nr 08"
"609","Kuifje Weekblad ","1949","47"
"610","Victoria ","55"," De Hel Wacht Niet"
"611","Sjors ","1953","32"
"612","Robbedoes Weekblad ","1963","1306"
"613","Knocky Magazine "," 2013 03 "," April"
"614","Suske En Wiske HQ ","185"," De Botte Botaknol"
"615","Victoria ","164"," Gevechten In Het Hoge Noorden"
"616","Suske En Wiske ","171"," Walli De Walvis"
"617","Sonetteke ","1"," De Zieleroerselen Van Sonetteke"
"618","C�dric ","28"," Valse Start!"
"619","Suske En Wiske Reclame "," E01 "," Fata Morgana"
"620","Samson & Gert Krant ","79"," Nummer 079"
"621","De Huurling ","7"," De Reis"
"622","Donald Duck ","1989","52"
"623","Woody Woodpecker (Semic Press) "," A05 "," Woody Woodpecker En De Burro"
"624","Tibor, Zoon Van Het Oerwoud ","110"," De Zevende Hof"
"625","Pep ","1973","5"
"626","Pep ","1974","31"
"627","Tibor, Zoon Van Het Oerwoud ","59"," Een Vreemd Duel"
"628","Kuifje Weekblad ","1956","10"
"629","Suske En Wiske Parodie ","3"," De Glunderende Gluurder"
"630","Piloot Storm "," V32 "," De Droom Van Z"
"631","Sitnalta ","1"," Het Verraderlijke Hart"
"632","Akim Held Van De Jungle ","74"," Karloff's Overwint"
"633","Bone "," A01 "," Deel 01"
"634","Storm ","24"," De Bronnen Van Marduk"
"635","Donald Duck Specials ","20"," Duck Out WK Special 2014"
"636","Het Dagelijks Leven ","1"," Trouw & Ontrouw"
"637","Dag En Heidi ","1"," Het Zwarte Paard"
"638","FC De Kampioenen ","83"," Op Zoek naar Neroke"
"639","Groene Lantaarn ","2702"," Is De Wereld Ge�indigd... Of Ik"
"640","Hellboy ","3"," De Geketende Kist"
"641","Karl May ","44"," Kleine Wolf"
"642","Donald Duck ","1995","10"
"643","MAD ","63"," Nr 063"
"644","Penthouse Comics Magazine ","53"," Deel 53"
"645","Robbedoes Weekblad ","1971","1738"
"646","Buck Danny ","50"," Sabotage In Texas"
"647","Sjors ","1973","36"
"648","Korak De Zoon Van Tarzan "," B31 "," Overgeleverd Aan De Natuur + Schatten Jacht"
"649","Woody Woodpecker (Semic Press) ","1"," De Geheime Mijn"
"650","Donald Duck ","1958","5"
"651","Ton En Tinneke "," L01 "," Kalm Blijven, Ton!"
"652","De Oorlog Van De Sambers ","3"," Hugo & Iris 3 Winter 1831 De Maan Die Kijkt"
"653","Rawhide Kid "," B08 "," De Goudmijn"
"654","Losstaande Albums Van Milo Manara ","5"," De Reis Van G. Mastorna"
"655","Wielergek! ","6"," Deel 6"
"656","Bij Sjaak, Tussen Pot En Pint ","10"," Geen Klein Bier"
"657","Agent 327 ","1"," Dossier Heksenkring & Dossier Onderwater"
"658","Mirakel Man ","19"," Vrij Aan Boord"
"659","Tibor, Zoon Van Het Oerwoud "," A42 "," Op Omel's Sporen"
"660","Akim Held Van De Jungle ","23"," Veroordeeld"
"661","Eppo Wordt Vervolgd ","1987","1"
"662","Naar Gravin De S�gur ","9"," Het Toverhuisje + Het Dappere Daantje"
"663","Vampirissimo ","62"," De Vervloekte Villa"
"664","Bruxxxel ","1"," Bruxxxel"
"665","Donald Duck ","2001","37"
"666","Dig En Dag Op Stap "," O02 "," De Dikkerdaks Aan De Mississippi"
"667","Akim Held Van De Jungle ","42"," De Adelaar Mol"
"668","Stripschrift ","351"," William Vance"
"669","Victoria ","422"," Okinawa Waar De Piloten Vielen"
"670","Reiziger ","6"," Heden 02"
"671","Victoria ","255"," Betaald Met Bloed (Andere scan)"
"672","Jess Long ","12"," Poedersneeuw"
"673","Woody Woodpecker (Semic Press) ","6"," Woody Doet Aan Boksen"
"674","Kuifje Weekblad ","1983","5"
"675","Drakenbloed ","3"," In De Naam Van De Vader"
"676","De Familie Freudipoes ","2"," Escapades"
"677","Donald Duck Extra "," 1991 07 "," Onrust In Het Oerwoud"
"678","Suske En Wiske HQ ","134"," De Witte Uil"
"679","Donald Duck Extra "," 1996 09 "," De Tornado Van De Tijd"
"680","Robbedoes Weekblad ","2000","3256"
"681","Kuifje Weekblad ","1983","26"
"682","TV2000 ","1968","48"
"683","W817 ","10"," Een Krot Van Een Kot"
"684","Sprookjes In Beeld ","98"," Het Gouden Paleis"
"685","Claire ","2"," Ricky"
"686","Eppo ","1978","16"
"687","Requiem ","1"," Kim"
"688","De Rode Ridder (Kleur) ","124"," Necronomicon"
"689","Sigurd "," B30 "," Het Spoor Van Dudolf"
"690","Bakelandt ","85"," De Luipaardman"
"691","Suske En Wiske De Beste 10 ","3"," De Dolle Musketiers"
"692","Kuifje Weekblad ","1985","28"
"693","De Rode Ridder (Kleur) ","150"," Klingsor"
"694","Donald Duck ","1988","50"
"695","Superman Classics ","80"," Het Achtste Geheim Van Superman"
"696","Tarzan (Classics) ","235"," Tarzan En De Schipbreukelingen 2"
"697","Disneyland ","1973"," 14 (Blz 1 & 2 beschadigd)"
"698","Suske En Wiske ","284"," Kaapse Kaalkoppen"
"699","Trollen Van Troy ","5"," De Hekserijen Van De Wonderdoenster"
"700","�gan ","37"," De Vijand Van De Vikingen"
"701","Eppo ","1976","4"
"702","Conan ","9"," De Kloof Tussen Leven En Dood"
"703","De Laatste Tempelier ","3"," De Verzonken Kerk"
"704","Niklos Koda ","1"," Achterin De Berlines"
"705","Buck Danny ","14"," Patroelje Bij Dageraad"
"706","De Spectaculaire SpiderMan Extra ","16"," Ace II"
"707","Suske En Wiske Weekblad ","2000","36"
"708","Goliath ","5"," De Vallei Van De Doedels"
"709","Fathom ","5"," Deel 05"
"710","Lasso ","293"," Betaald Met Kogels"
"711","Thaneros ","2"," De Jeugdzonde"
"712","De Havik "," B02 "," Een Opdracht Voor De Havik 2"
"713","De Rode Ridder (Kleur) ","139"," Bloed In De Branding"
"714","Tex Willer ","88"," De Vlucht Van De Pijl"
"715","Rik Ringers ","28"," Hallali Voor Rik Ringers"
"716","Tom & Jerry (De Vrijbuiter) "," A230 "," Toms Nichtje"
"717","Ducktales ","26"," De Honingjacht"
"718","De Verlichte Markiezin ","4"," Het Zwaard En De Weegschaal"
"719","Robbedoes Weekblad ","1980","2194"
"720","Donald Duck ","1967","44"
"721","Dodelijke Zone ","1"," Cronos"
"722","Het Monster Van Frankenstein ","6"," In De Greep Van De Angst"
"723","Rouletabille "," C05 "," De Moordmachine"
"724","Kuifje Weekblad ","1971","35"
"725","Roxane ","1"," De Terugkeer Van Roxane"
"726","Kick Wilstra "," C01c "," De Wondermidvoor Terug [skarabee]"
"727","Wild West (Classics) ","31"," De Gehuurde Killer"
"728","Alex ","18"," Vercingetorix"
"729","De Lone Ranger "," B12 "," De Boemerang Val"
"730","Kuifje Weekblad ","1949","45"
"731","Eppo ","1977","15"
"732","Bonanza "," A22 "," De Grot Van De Hangende Stenen"
"733","Donald Duck ","1960","43"
"734","Wordt Vervolgd ","32"," Nummer Tweeendertig"
"735","De Kriegels ","3"," De Geest Van Krigelia"
"736","Sjors ","1971","30"
"737","Donald Duck ","1958","36"
"738","Robbedoes Weekblad ","1988","2612"
"739","Yalek "," N03 "," Operatie Nessy"
"740","Doc Silver ","5"," De Zwarte Jager"
"741","Suske En Wiske HQ ","257"," De Rebelse Reinaert"
"742","Thomas Rindt ","1"," Moessonregens"
"743","Donald Duck Een Vrolijke Kerst ","9"," Een Vrolijke Kerst Met Donald Duck 2002"
"744","Robbedoes Weekblad ","1976","1972"
"745","Yakari ","10"," Yakari En De Valstrik"
"746","Donald Duck ","1992","21"
"747","I.R.$. ","8"," De Zwarte Oorlog"
"748","Safari ","16"," De Grotten Van Balani"
"749","Geheime Oorlogen II ","8"," Tijd Om Te Sterven"
"750","Vrouwen In 't Wit ","18"," Operatie NONsens"
"751","Victoria ","316"," De Drievoudige Klap"
"752","Toran ","1"," Laona"
"753","Akim Held Van De Jungle "," C128 "," De Explosie"
"754","Kuifje Weekblad ","1976","35"
"755","De Avonturen Van Urbanus ","86"," Ferm Gedraaide Loeren"
"756","Superman Classics ","45"," Superman's Zon"
"757","Garfield ","77"," Garfield Laat Zijn Tanden Zien"
"758","De Verborgen Geschiedenis ","24"," De Onbekende Oorlog"
"759","Robbedoes Weekblad ","1989","2697"
"760","Robbedoes Weekblad ","1959"," 1126 (Vlaams)"
"761","De Klaagzang Van De Verloren Gewesten ","5"," Moriganen"
"762","Gummi ","23"," Deel 23"
"763","Humor In Beroepen ","11"," GSM's"
"764","Kuifje Weekblad ","1968","11"
"765","Rik Ringers ","70"," Dodelijke Stilte"
"766","Zwarte Reeks ","171"," De Sadist Van Beaucastel"
"767","Robbedoes Weekblad ","1958","1048"
"768","De Familie Snoek ","9"," Snoek Heeft Ambras"
"769","Tina ","1975","25"
"770","Robbedoes Weekblad ","1954","737"
"771","Donald Duck ","2015","11"
"772","Garry ","4"," 'Geimproviseerd Opperbevel'"
"773","Donald Duck ","1999","28"
"774","Het Felix Flux Museum ","3"," De Jum Van De Ararat"
"775","Thorgal ","13"," Tussen Aarde En Licht"
"776","Pipo De Clown ","1"," Pipo De Clown In Miniland"
"777","Suske En Wiske ","18"," De Dolle Musketiers (1953)"
"778","Donald Duck ","1984","15"
"779","Penny Plus ","2006","1"
"780","Witchblade ","22"," Deel 22"
"781","Karl May ","76"," De Laatste Ranch"
"782","Zwarte Reeks ","55"," De Geschiedenis Van 'E' Deel 2"
"783","Sabbatini ","3"," Black Requiem"
"784","Tom & Jerry (De Vrijbuiter) "," A073 "," De Verkoudheidstest"
"785","Sjors ","1963","32"
"786","Sjors ","1950","2"
"787","Image Special ","6"," Tales Of The Witchblade Deel 1"
"788","Robbedoes Weekblad ","2001","3323"
"789","Sjors En Sjimmie Extra ","1994","3"
"790","Donald Duck ","1989","6"
"791","Rik, Clio En Pluk ","7"," Clio In De Toptien"
"792","XIII Mystery ","1"," De Mangoest"
"793","Akira ","6"," Deel 06"
"794","Sjors ","1956","11"
"795","Kuifje Weekblad ","1977","19"
"796","I.R.$. ","10"," De Loge Van De Moordenaars"
"797","Sjors ","1971","36"
"798","Plezier Met Sjors ","8"," Deel 08"
"799","Leonardo ","1"," Is 'n Genie"
"800","Ikayaki Tomoyo ","4"," Teufel"
"801","Anita ","1979","18"
"802","Losstaande Albums Van Milo Manara ","9"," Kama Sutra"
"803","De Trojaanse Oorlog & De Reizen Van Odysseus ","1"," Deel 01"
"804","Lodewijk ","1"," Wat Is Zonde..."
"805","Inspecteur Canardo ","17"," Dodelijke Spijt"
"806","De Barbaren ","2"," Vikingwet"
"807","Jess Long ","16"," Het Jaar Van De Rat"
"808","V ","1"," Het Dorp Zonder Schaamte"
"809","Korak De Zoon Van Tarzan ","15"," Gevaar In De Jade Lagune"
"810","Donald Duck ","1981","30"
"811","Sjors ","1970","1"
"812","Asterix ","17"," De Romeinse Lusthof"
"813","Cassio ","5"," De Weg Naar Rome"
"814","De Familie Kwaal ","3"," Op Volle Toeren"
"815","Suske En Wiske Reclame ","0"," De Vrolijke Bengels 02"
"816","Zonneland ","1957","30"
"817","De Vergelders Special ","36"," Eindelijk Een Nieuw Team!!"
"818","De Slavinnen ","4"," Deel 4"
"819","�gan ","20"," De Rode Mantel"
"820","Batman Classics ","75"," De Waarschuwing"
"821","Pep ","1964","48"
"822","Donald Duck ","1953","14"
"823","Bakelandt ","92"," Het Weense Complot"
"824","Paling En Ko ","40"," Olympische Spelen Los Angeles 1984"
"825","De Familie Doorzon ","26"," Doorzon Te Koop"
"826","Falk ","34"," Vlak Bij De Hut (1965)"
"827","Kuifje Weekblad ","1988","23"
"828","Donald Duck ","1982","37"
"829","Robbedoes Weekblad ","1967","1536"
"830","Suske En Wiske Weekblad ","1998","49"
"831","Mickey Maandblad ","1983","11"
"832","Stripschrift ","180"," Nummer 180"
"833","De Avonturen Van Kapitein Rob ","46"," Het Spookschip Van Hellwick (1958)"
"834","Robbedoes Weekblad ","1970","1679"
"835","Wild West ","14"," De Desperado"
"836","Sjors ","1960","24"
"837","Comanche ","10"," Het Lijk Van Algernon Brown"
"838","Donald Duck ","1991","40"
"839","Blake En Mortimer "," S08 "," Het Jacobs Teken Een Leven In Stripvorm"
"840","Victoria ","181"," Een Zaak Van Eer"
"841","Roodmasker ","9"," De Zwarte Weduwe"
"842","Jerome K. Jerome Bloks ","9"," Niet Thuis"
"843","Popeye "," F65 "," Een Koning Is Een Koning"
"844","Sjors ","1958","4"
"845","Block 109 ","2"," De Bunker"
"846","De Avonturen Van Urbanus ","31"," De Zes Turven"
"847","Spawn ","49"," Dromend Ontwaken"
"848","De Rode Ridder (Kleur) ","181"," De Lamp Van Aladdin"
"849","Romance Classics ","50"," Hoog Spel"
"850","Donald Duck Extra "," 2008 04 "," De Haaientemmer"
"851","Sjors ","1965","49"
"852","Plunk! ","2"," 100% Pure Plunk"
"853","Bob Morane "," K09 "," De Jacht Op De Dinosaurussen"
"854","Sjors ","1953","34"
"855","Losstaande Albums Van Annie Goetzinger ","1"," Legende En Waarheid Over Goudkopje"
"856","Donald Duck ","1999","27"
"857","Maja De Bij "," S02 "," Brand!"
"858","StripNieuws ","20"," 2006 03"
"859","Michel Vaillant ","65"," De Beproeving"
"860","Donald Duck ","2011","43"
"861","De Erfenis Van De Goden ","2"," Noesis"
"862","Verzamelde Werken Van Moebius ","5"," De Erectomaan"
"863","Wolverine ","75"," Wolverine Deel 1 & 2"
"864","Levenslijnen ","10"," De Muur"
"865","De Rode Ridder (Kleur) ","232"," Duivelsmist"
"866","Sjors ","1956","36"
"867","Kuifje Weekblad ","1981","29"
"868","Tom & Jerry (De Vrijbuiter) "," A083 "," In Reuzenland"
"869","Donald Duck ","1958","49"
"870","Penny ","1984","11"
"871","Superman (Vanderhout) "," A03 "," Album 03"
"872","Ravian "," K03 "," De Asteroide Tsirillitus"
"873","Eppo ","1983","33"
"874","De Rode Ridder (Kleur) ","122"," De Duinenabdij"
"875","Donald Duck ","1961","23"
"876","SjoSji ","1997","16"
"877","Eppo ","1977","46"
"878","Nomad ","5"," Karoshi Enterprise"
"879","Dierenriem ","1"," De Uitdaging Van De Ram"
"880","Donald Duck ","1978","5"
"881","Jonne ","1"," De Edelsteen Van Het Onheil"
"882","Robbedoes Weekblad ","1967","1541"
"883","Khatedra ","2"," Geen Weg Terug"
"884","De Nachtuil ","1"," Heksen Van De Nacht"
"885","Tina ","1986","27"
"886","Pep ","1970","47"
"887","Marsupilami ","8"," De Tempel Van Boavista"
"888","Suske En Wiske Weekblad ","2001","41"
"889","Robbedoes Weekblad ","1966"," 1456 (Andere scan)"
"890","Victoria "," M430 "," Het Gevecht Om Rougelap"
"891","Robbedoes Weekblad ","1989","2662"
"892","Eppo ","1981","33"
"893","Arctica ","1"," Tienduizend Jaar Onder Het Ijs"
"894","Jommeke ","174"," Het Zevende Zwaard"
"895","De Wonderbaarlijke Spinneman ","40"," De Nacht Van De Sluiper!"
"896","Bob Moon En Titania ","3"," Piassenpiraat"
"897","Donald Duck ","2011","34"
"898","Felix De Kat ","12"," Deel 12"
"899","Kuifje Weekblad ","1966","5"
"900","Donald Duck ","1991","42"
"901","De Woensdagavondsessies ","1"," Sektes En Paranoia"
"902","Losstaande Albums Van Mark Hendriks ","4"," Yap En Het Geheim Van Het Verdwenen Geld"
"903","Schaduwland ","1"," Ogen Van Steen"
"904","Robbedoes Weekblad ","1951","579"
"905","Sophie ","19"," De Zwerftocht Van De U522"
"906","De Rode Ridder (Kleur) ","218"," Doodbrenger"
"907","Suske En Wiske Familiestripboek "," A01 "," Lambik Familiestripboek 1997"
"908","Japik De Sexmaniak ","3"," De Wereld Rond Met Japik De Sexmaniak Deel 3"
"909","De Zandmemoor ","2"," Morganastad"
"910","Kuifje Weekblad ","1961","33"
"911","Duck Out ","2011","4"
"912","Al Crane ","1"," De Lotgevallen Van Al Crane"
"913","De Klaagzang Van De Verloren Gewesten ","1"," Sioban"
"914","XIII Mystery ","8"," Martha Shoebridge"
"915","Kobe De Koe ","6"," De Papieren Tijgers"
"916","Donald Duck ","49"," Als Ridder"
"917","Autobio ","1"," De Biotoop"
"918","Tom Poes Krantenstrips ","160"," Heer Bommel En De Uitvalsels"
"919","Tina ","2004","13"
"920","De Wonderbaarlijke Spinneman ","74"," Daar Is... De Vernieler!"
"921","Illustrated Classics ","171"," De Berejacht"
"922","Sprookjes In Beeld ","107"," Trompie En Zijn Vriendjes"
"923","Mickey Mouse "," S02 "," Mickey Mouse 60 Jaar"
"924","Donald Duck ","1995","22"
"925","Donald Duck Extra "," 1998 08 "," Strijd Tegen De Hittegolf"
"926","De Avonturen Van Nero En Co "," H51 "," De Krabbekokers (1964)"
"927","De Drie Bedriegers ","2"," De Wegen Van De Ketterij"
"928","Akim Held Van De Jungle "," C188 "," Gevaarlijke Overmoed"
"929","Suske En Wiske HQ ","259"," Amber"
"930","Schimmenspel ","2"," De Solitaire"
"931","Laurel En Hardy ","114"," Een Natte Dag"
"932","Notre Dame ","1"," Het Narrenfeest"
"933","Boot & Van Dijk ","7"," Misvattingen"
"934","Red Bridge ","1"," Mister Joe And Willoagby"
"935","Robbedoes Weekblad ","1985","2454"
"936","Pep ","1967","26"
"937","Karma Salsa ","1"," Karma Salsa"
"938","De Verbijsterende Hulk Album ","16"," Dromen"
"939","Brammetje Bram ","1"," Brammetje Bram... En De Beieren"
"940","De Wonderbaarlijke Spinneman ","68"," De Geboorte Van De Gibbon (Bewerkt)"
"941","Robbedoes Weekblad ","1984","2429"
"942","Disney Baby's ","0"," S86156"
"943","De Stripspeciaalzaak ","13"," Nummer 13"
"944","Sjors ","1956","26"
"945","Tom & Jerry (Vanderhout) ","2"," Pocket 2"
"946","Kuifje Weekblad ","1973","10"
"947","Robbedoes Weekblad ","1947","376"
"948","Sisters ","4"," Fantasticola!"
"949","Bakelandt ","96"," Het Geheime Plan"
"950","Het Is Groen En Het.. ","3"," De Invasie Gaat Vrolijk Verder!"
"951","Kuifje Weekblad ","1953","19"
"952","SjoSji Extra ","1997","8"
